car,move
X,-1
C,-1
C,1
X,-1
C,-1
X,2
A,-2
D,-1
G,-1
B,-2
X,-1
F,1
G,-1
E,1
H,-1
F,1
J,-1
X,2
J,1
X,-1
J,-2
E,1
J,2
X,-2
G,1
E,-2
F,-2
X,1
B,1
H,1
X,1
G,1
B,1
B,-2
G,-1
X,-2
X,1
B,1
X,1
G,1
B,-1
X,-1
X,1
G,-1
X,-2
B,2
A,2
X,2
X,-2
A,-2
A,2
F,1
A,-2
B,-1
F,-1
F,1
E,1
H,-1
A,1
X,2
J,-1
H,1
B,1
A,1
J,1
X,-2
X,1
E,-1
E,1
A,-1
A,1
X,1
A,-1
E,-1
B,-1
B,1
X,-1
X,-1
X,1
E,1
A,1
A,-2
X,-1
X,1
A,1
B,-1
H,-1
H,1
H,-1
A,-1
J,-1
J,1
J,-2
F,1
J,2
J,-1
X,1
X,-1
F,-1
F,1
A,1
X,-1
K,-2
I,-3
K,2
X,1
J,-1
I,-1
I,1
F,-1
A,-1
H,2
X,1
H,-2
I,-1
X,-1
I,1
B,-1
G,-1
G,1
F,1
E,1
B,1
A,1
A,-1
J,2
J,-2
J,1
B,-1
B,1
X,-1
A,1
X,1
X,-1
X,2
X,-1
X,1
X,-2
X,2
J,1
E,-1
A,-1
J,-2
E,1
J,1
X,-2
A,1
X,2
A,-1
X,-1
A,1
E,-1
K,-2
I,2
L,-4
X,-1
I,-2
X,1
K,1
A,-1
A,1
K,-1
L,1
X,-1
I,3
X,1
I,-1
X,-1
A,-1
L,2
A,1
L,-2
I,-2
J,1
K,2
F,-1
E,-1
H,2
F,-1
X,1
B,1
F,1
X,-1
X,1
X,1
E,1
B,-1
H,-1
X,-2
A,-1
H,2
X,1
X,1
H,-3
J,-1
L,-1
X,-2
A,1
L,1
L,-1
H,3
B,1
H,-2
X,2
B,-1
H,1
X,-1
H,1
L,1
H,-1
X,1
H,-2
F,1
J,1
A,-1
F,-1
J,-2
H,1
J,1
H,-1
J,-1
X,-1
L,-1
J,1
X,1
H,2
A,1
J,-1
I,-1
I,1
B,1
A,-1
B,-2
G,-1
J,1
X,-2
H,-1
X,1
L,1
X,2
X,-3
H,1
X,1
X,-1
X,2
L,-1
X,1
H,-1
H,-1
H,1
J,-1
X,-1
H,1
H,-2
H,2
I,-1
X,1
H,1
L,1
X,-2
X,1
X,2
